Energy (eV),DOS_up,DOS_down
-61.9561271,0.0,-0.0
-61.9096271,0.0,-0.0
-61.863027100000004,0.0,-0.0
-61.8165271,0.0,-0.0
-61.7700271,0.0,-0.0
-61.7234271,0.0,-0.0
-61.6769271,0.0,-0.0
-61.6304271,0.0,-0.0
-61.5838271,0.0,-0.0
-61.5373271,0.0,-0.0
-61.4907271,0.0,-0.0
-61.4442271,0.0,-0.0
-61.397727100000004,0.0,-0.0
-61.3511271,0.0,-0.0
-61.304627100000005,0.0,-0.0
-61.2580271,0.0,-0.0
-61.2115271,0.0,-0.0
-61.1650271,0.0,-0.0
-61.1184271,0.0,-0.0
-61.0719271,0.0,-0.0
-61.0253271,0.0,-0.0
-60.978827100000004,0.0,-0.0
-60.9323271,0.0,-0.0
-60.885727100000004,0.0,-0.0
-60.8392271,0.0,-0.0
-60.792627100000004,0.0,-0.0
-60.7461271,0.0,-0.0
-60.6996271,0.0,-0.0
-60.6530271,0.0,-0.0
-60.6065271,0.0,-0.0
-60.5599271,0.0,-0.0
-60.5134271,0.0,-0.0
-60.4669271,0.0,-0.0
-60.4203271,0.0,-0.0
-60.3738271,0.0,-0.0
-60.3272271,0.0,-0.0
-60.2807271,0.0,-0.0
-60.2342271,0.0,-0.0
-60.1876271,0.0,-0.0
-60.1411271,0.0,-0.0
-60.0945271,0.0,-0.0
-60.0480271,0.0,-0.0
-60.001527100000004,0.0,-0.0
-59.9549271,0.0,-0.0
-59.908427100000004,0.0,-0.0
-59.8618271,0.0,-0.0
-59.815327100000005,0.0,-0.0
-59.7688271,0.0,-0.0
-59.7222271,0.0,-0.0
-59.6757271,0.0,-0.0
-59.6291271,0.0,-0.0
-59.5826271,0.0,-0.0
-59.5361271,0.0,-0.0
-59.489527100000004,0.0,-0.0
-59.4430271,0.0,-0.0
-59.396427100000004,0.0,-0.0
-59.3499271,0.0,-0.0
-59.3034271,0.0,-0.0
-59.2568271,0.0,-0.0
-59.2103271,0.0,-0.0
-59.1637271,0.0,-0.0
-59.1172271,0.0,-0.0
-59.0707271,0.0,-0.0
-59.0241271,0.0,-0.0
-58.9776271,0.0,-0.0
-58.9310271,0.0,-0.0
-58.8845271,0.0,-0.0
-58.8380271,0.0,-0.0
-58.7914271,0.0,-0.0
-58.7449271,0.0,-0.0
-58.6983271,0.0,-0.0
-58.6518271,0.0,-0.0
-58.605327100000004,0.0,-0.0
-58.5587271,0.0,-0.0
-58.512227100000004,0.0,-0.0
-58.4656271,0.0,-0.0
-58.419127100000004,0.0,-0.0
-58.3726271,0.0,-0.0
-58.326027100000005,0.0,-0.0
-58.2795271,0.0,-0.0
-58.232927100000005,0.0,-0.0
-58.1864271,0.0,-0.0
-58.1399271,0.0,-0.0
-58.0933271,0.0,-0.0
-58.0468271,0.0,-0.0
-58.000227100000004,0.0,-0.0
-57.9537271,0.0,-0.0
-57.9072271,0.0,-0.0
-57.8606271,0.0,-0.0
-57.8141271,0.0,-0.0
-57.7675271,0.0,-0.0
-57.7210271,818.9066,-0.0
-57.6745271,5.3669,-0.0
-57.6279271,0.0,-0.0
-57.5814271,0.0,-0.0
-57.5348271,0.0,-0.0
-57.4883271,0.0,-0.0
-57.441827100000005,0.0,-0.0
-57.3952271,0.0,-0.0
-57.3487271,0.0,-0.0
-57.3021271,0.0,-0.0
-57.2556271,0.0,-0.0
