Energy (eV),DOS_up
-74.01675075,0.0
-73.96725075,0.0
-73.91775075000001,0.0
-73.86835074999999,0.0
-73.81885075,0.0
-73.76935075,0.0
-73.71995075000001,0.0
-73.67045074999999,0.0
-73.62095074999999,0.0
-73.57145075,0.0
-73.52205075,0.0
-73.47255075000001,0.0
-73.42305074999999,0.0
-73.37355074999999,0.0
-73.32415075,0.0
-73.27465075,0.0
-73.22515075000001,0.0
-73.17575074999999,0.0
-73.12625075,0.0
-73.07675075,0.0
-73.02725075000001,0.0
-72.97785074999999,0.0
-72.92835074999999,0.0
-72.87885075,0.0
-72.82945075,0.0
-72.77995075000001,0.0
-72.73045074999999,0.0
-72.68095075,0.0
-72.63155075,0.0
-72.58205075000001,0.0
-72.53255075000001,0.0
-72.48315075,0.0
-72.43365075,0.0
-72.38415075,0.0
-72.33465075000001,0.0
-72.28525074999999,0.0
-72.23575075,0.0
-72.18625075,0.0
-72.13675075,0.0
-72.08735075000001,0.0
-72.03785074999999,0.0
-71.98835075,0.0
-71.93895075,0.0
-71.88945075000001,0.0
-71.83995075000001,0.0
-71.79045074999999,0.0
-71.74105075,0.0
-71.69155075,0.0
-71.64205075000001,0.0
-71.59265074999999,0.0
-71.54315075,0.0
-71.49365075,0.0
-71.44415075,0.0
-71.39475075000001,0.0
-71.34525074999999,0.0
-71.29575075,0.0
-71.24635075,0.0
-71.19685075000001,0.0
-71.14735074999999,0.0
-71.09785074999999,0.0
-71.04845075,0.0
-70.99895075,0.0
-70.94945075000001,0.0
-70.90005074999999,0.0
-70.85055075,0.0
-70.80105075,0.0
-70.75155075,0.0
-70.70215074999999,0.0
-70.65265074999999,0.0
-70.60315075,0.0
-70.55365075,0.0
-70.50425075000001,0.0
-70.45475074999999,0.0
-70.40525075,0.0
-70.35585075,0.0
-70.30635075000001,0.0
-70.25685075000001,0.0
-70.20735074999999,0.0
-70.15795075,0.0
-70.10845075,0.0
-70.05895075000001,0.0
-70.00955074999999,0.0
-69.96005075,0.0
-69.91055075,0.0
