Distance,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
0.0,-64.5263,-64.5263,-64.5262,-64.5262,-64.4865,-64.4865,-64.4865,-64.4864,-64.4864,-64.4864,-64.4861,-64.4861,-64.4285,-64.4285,-64.4284,-64.4283,-64.3411,-64.341,-10.7666,-10.7447,-9.0188,-8.8933,-7.5285,-7.3581,-1.9008,-1.4355,-0.1452,0.2467,0.2468,0.2498,0.2499,0.2963,0.2963,0.3034,0.3035,0.3177,1.1428,1.1428,1.1532,1.1532,2.5385,2.5385,2.583,2.583,2.583,2.6087,2.6612,2.671,2.671,2.7154,2.7154,2.7798,2.7798,2.8,2.8,2.9162,3.3137,4.1534,4.2612,4.2612,4.3031,4.3031,5.3934,5.3934,5.683,5.683,5.7171,5.7171,5.8263,5.9954,5.9954,7.0431,7.0842,7.4433,7.8844,8.6028,9.1295,9.8176,10.5213,11.0704,11.0704,11.3495,11.3495,11.5928,11.6237,11.6238,11.8317,11.8317,11.9592,11.9592,12.7094,12.7095,13.5014,14.4905,14.7727,14.7727,15.3894,15.3894,15.8745,15.8745,16.0933,16.2319,16.346,16.6112,17.2838,17.2838,17.7268,17.8706,18.6913,18.6913,19.2674,19.3513,19.3513,19.761,19.9834,20.7757,20.8869,20.8869,21.7538,21.7538,21.7954,22.2717,22.3072,22.3072,23.3372,23.3372,23.5269,24.7616
0.009953053088471655,-64.5263,-64.5262,-64.5262,-64.5261,-64.4865,-64.4864,-64.4864,-64.4864,-64.4863,-64.4863,-64.4861,-64.4861,-64.4285,-64.4285,-64.4284,-64.4283,-64.3411,-64.341,-10.7664,-10.7446,-9.0187,-8.8932,-7.5283,-7.358,-1.9006,-1.4354,-0.1453,0.2465,0.2469,0.2496,0.25,0.2937,0.2963,0.303,0.3035,0.3198,1.1427,1.1429,1.153,1.1534,2.5383,2.5384,2.583,2.583,2.5831,2.6085,2.6602,2.671,2.6724,2.7154,2.7154,2.7799,2.7799,2.7995,2.8001,2.917,3.3135,4.1525,4.2604,4.2609,4.3029,4.3031,5.3918,5.3928,5.6812,5.6824,5.7159,5.7167,5.8252,5.9951,5.9958,7.0447,7.0858,7.4433,7.8861,8.6042,9.1306,9.8184,10.5209,11.0689,11.071,11.3484,11.3503,11.5893,11.6234,11.6248,11.8314,11.8327,11.9599,11.9617,12.7093,12.7102,13.5025,14.4904,14.7707,14.772,15.3884,15.3891,15.8707,15.8751,16.0954,16.2341,16.348,16.617,17.2827,17.2835,17.7278,17.8723,18.6913,18.6924,19.2686,19.3514,19.3515,19.7607,19.9851,20.7763,20.8854,20.8872,21.7536,21.7537,21.7956,22.2693,22.3083,22.3103,23.3382,23.3394,23.529,24.7635
0.01990612528681747,-64.5263,-64.5263,-64.5262,-64.5261,-64.4865,-64.4864,-64.4864,-64.4864,-64.4864,-64.4863,-64.4861,-64.4861,-64.4285,-64.4285,-64.4284,-64.4283,-64.3411,-64.341,-10.7661,-10.7443,-9.0182,-8.8927,-7.5278,-7.3576,-1.9002,-1.4352,-0.1454,0.2459,0.2472,0.2487,0.2504,0.2877,0.2964,0.3016,0.3035,0.3246,1.1423,1.1432,1.1524,1.1537,2.5378,2.5381,2.5828,2.5828,2.5832,2.6079,2.6579,2.6709,2.6756,2.7154,2.7155,2.78,2.7803,2.7981,2.8002,2.9194,3.313,4.1497,4.258,4.2601,4.3022,4.3028,5.3869,5.3909,5.6758,5.6806,5.7125,5.7154,5.822,5.994,5.9971,7.0495,7.0905,7.4434,7.8911,8.6083,9.1337,9.8211,10.5194,11.0641,11.0728,11.345,11.3525,11.5789,11.6224,11.6279,11.8307,11.8359,11.9617,11.969,12.709,12.7123,13.5057,14.4904,14.7646,14.77,15.3853,15.3882,15.8597,15.8771,16.1018,16.2404,16.3539,16.634,17.2794,17.2824,17.7308,17.8773,18.6913,18.6958,19.2722,19.3519,19.3524,19.7597,19.9903,20.7781,20.8807,20.8879,21.753,21.7532,21.7962,22.2622,22.3117,22.3196,23.3411,23.3458,23.5353,24.77
0.029859178375289126,-64.5263,-64.5263,-64.5261,-64.5261,-64.4865,-64.4864,-64.4864,-64.4864,-64.4864,-64.4863,-64.4861,-64.486,-64.4285,-64.4285,-64.4284,-64.4283,-64.3411,-64.341,-10.7655,-10.7437,-9.0173,-8.892,-7.5271,-7.357,-1.8994,-1.4348,-0.1456,0.2448,0.2472,0.2477,0.251,0.28,0.2964,0.2993,0.3036,0.3301,1.1417,1.1436,1.1513,1.1541,2.5371,2.5376,2.5824,2.5825,2.5834,2.6069,2.6555,2.6707,2.6795,2.7154,2.7156,2.7804,2.781,2.7959,2.8004,2.9233,3.312,4.1451,4.254,4.2588,4.301,4.3024,5.3788,5.3877,5.6669,5.6777,5.7067,5.7133,5.8166,5.9921,5.9991,7.0576,7.0983,7.4435,7.8995,8.615,9.139,9.8255,10.5171,11.0564,11.0758,11.3393,11.3563,11.5626,11.6207,11.6331,11.8294,11.8411,11.9648,11.9801,12.7085,12.7159,13.5109,14.4902,14.7546,14.7667,15.3802,15.3867,15.8425,15.8803,16.1123,16.2509,16.3638,16.6611,17.274,17.2806,17.7357,17.8856,18.6914,18.7013,19.2782,19.3526,19.3537,19.758,19.9989,20.781,20.8731,20.8891,21.752,21.7524,21.7976,22.2507,22.3173,22.3347,23.3458,23.3562,23.5458,24.7803
0.03981223146376078,-64.5263,-64.5262,-64.5261,-64.5261,-64.4864,-64.4864,-64.4864,-64.4864,-64.4864,-64.4863,-64.4861,-64.486,-64.4285,-64.4285,-64.4284,-64.4283,-64.3411,-64.341,-10.7646,-10.7429,-9.0161,-8.8909,-7.526,-7.3561,-1.8984,-1.4342,-0.1458,0.2433,0.2451,0.2485,0.2518,0.2715,0.296,0.2964,0.3038,0.3356,1.1409,1.1443,1.1497,1.1548,2.536,2.537,2.5819,2.582,2.5836,2.6055,2.6532,2.6703,2.6837,2.7155,2.7159,2.7808,2.782,2.7931,2.8006,2.9286,3.3106,4.1387,4.2484,4.257,4.2993,4.3018,5.3676,5.3833,5.6546,5.6736,5.6987,5.7103,5.8093,5.9895,6.0018,7.0688,7.1092,7.4436,7.911,8.6244,9.1463,9.8316,10.5138,11.0456,11.0799,11.3314,11.3615,11.5413,11.6183,11.6403,11.8277,11.8484,11.9691,11.9941,12.7078,12.7208,13.5181,14.4899,14.7408,14.7622,15.3731,15.3845,15.8206,15.8847,16.1271,16.2655,16.3775,16.6966,17.2669,17.2781,17.7423,17.8972,18.6915,18.709,19.2865,19.3535,19.3555,19.7557,20.011,20.785,20.8624,20.8907,21.7506,21.7515,21.8003,22.2352,22.325,22.3551,23.3525,23.3701,23.5604,24.795
0.04976530366210659,-64.5263,-64.5262,-64.5261,-64.5261,-64.4864,-64.4864,-64.4864,-64.4863,-64.4863,-64.4863,-64.4861,-64.4861,-64.4285,-64.4285,-64.4284,-64.4283,-64.3411,-64.341,-10.7635,-10.7418,-9.0145,-8.8896,-7.5246,-7.355,-1.897,-1.4335,-0.1461,0.2413,0.2426,0.2494,0.2529,0.2623,0.2918,0.2965,0.3039,0.341,1.1398,1.1452,1.1477,1.1557,2.5346,2.5362,2.5813,2.5815,2.584,2.6037,2.6513,2.6699,2.6882,2.7155,2.7162,2.7813,2.7831,2.7899,2.8009,2.935,3.3089,4.1306,4.2414,4.2546,4.2971,4.3011,5.3534,5.3775,5.6389,5.6683,5.6885,5.7065,5.8,5.9862,6.0051,7.083,7.1231,7.4437,7.9257,8.6363,9.1555,9.8394,10.5096,11.032,11.0852,11.3215,11.3682,11.516,11.6153,11.6496,11.8256,11.8578,11.9747,12.0101,12.7069,12.7272,13.5271,14.4894,14.7235,14.7564,15.3644,15.3819,15.7953,15.8903,16.1461,16.2841,16.395,16.739,17.2583,17.275,17.7503,17.9121,18.6917,18.7188,19.2972,19.3547,19.3578,19.7527,20.0265,20.7901,20.8489,20.893,21.7493,21.7504,21.8046,22.2161,22.3347,22.3802,23.361,23.387,23.5791,24.8137
0.059718356750578246,-64.5263,-64.5262,-64.5261,-64.5261,-64.4864,-64.4864,-64.4864,-64.4863,-64.4863,-64.4862,-64.4862,-64.4861,-64.4285,-64.4285,-64.4284,-64.4283,-64.341,-64.341,-10.7622,-10.7405,-9.0127,-8.8879,-7.5229,-7.3536,-1.8954,-1.4327,-0.1466,0.2385,0.2397,0.2506,0.2525,0.2542,0.2867,0.2966,0.3042,0.3461,1.1385,1.1453,1.1463,1.1567,2.533,2.5351,2.5805,2.5808,2.5844,2.6016,2.6496,2.6695,2.6927,2.7156,2.7166,2.782,2.784,2.7868,2.8013,2.9423,3.3068,4.1208,4.2329,4.2517,4.2945,4.3002,5.3363,5.3706,5.6199,5.6619,5.6761,5.7019,5.789,5.9821,6.0089,7.1002,7.1399,7.4439,7.9433,8.6507,9.1667,9.8488,10.5045,11.0157,11.0917,11.3096,11.3763,11.4875,11.6116,11.661,11.8231,11.8692,11.9814,12.0273,12.7059,12.7349,13.5376,14.4886,14.7028,14.7495,15.354,15.3786,15.768,15.897,16.1692,16.3066,16.4161,16.7868,17.2487,17.2712,17.7596,17.9301,18.692,18.7307,19.3101,19.3561,19.3607,19.7491,20.0453,20.7962,20.8326,20.8958,21.7485,21.7493,21.8106,22.1941,22.3465,22.4093,23.3713,23.4064,23.6018,24.8365
0.06967140983904989,-64.5263,-64.5262,-64.5261,-64.5261,-64.4864,-64.4864,-64.4864,-64.4863,-64.4863,-64.4862,-64.4861,-64.4861,-64.4285,-64.4285,-64.4284,-64.4283,-64.3411,-64.341,-10.7606,-10.739,-9.0104,-8.886,-7.521,-7.352,-1.8934,-1.4316,-0.147,0.2348,0.2368,0.2421,0.252,0.2557,0.2807,0.2967,0.3044,0.351,1.137,1.1424,1.1475,1.158,2.531,2.534,2.5796,2.5799,2.5848,2.5991,2.6483,2.6689,2.6973,2.7157,2.7173,2.7818,2.7828,2.787,2.8017,2.9504,3.3042,4.1094,4.2231,4.2484,4.2914,4.2991,5.3164,5.3625,5.598,5.6544,5.6616,5.6964,5.7761,5.9773,6.0132,7.1202,7.1596,7.444,7.9637,8.6675,9.1797,9.8597,10.4984,10.9968,11.0993,11.2957,11.3859,11.4566,11.6073,11.6744,11.8204,11.8827,11.9893,12.0448,12.7047,12.7441,13.5495,14.4874,14.679,14.7416,15.3422,15.3749,15.7397,15.9048,16.1964,16.3328,16.4404,16.8385,17.2387,17.267,17.7699,17.9514,18.6926,18.7447,19.3252,19.3576,19.3639,19.7448,20.0675,20.8033,20.8137,20.8993,21.7483,21.7489,21.8182,22.1696,22.36,22.4419,23.3834,23.4276,23.6284,24.8627
0.07962448203739572,-64.5262,-64.5261,-64.5261,-64.526,-64.4864,-64.4864,-64.4863,-64.4863,-64.4862,-64.4861,-64.4861,-64.4861,-64.4285,-64.4284,-64.4284,-64.4283,-64.341,-64.341,-10.7588,-10.7372,-9.0079,-8.8837,-7.5187,-7.3502,-1.8912,-1.4305,-0.1476,0.2304,0.2312,0.2335,0.2535,0.2575,0.2739,0.2968,0.3048,0.3556,1.1352,1.1391,1.149,1.1594,2.5288,2.5326,2.5786,2.579,2.5853,2.5964,2.6473,2.6683,2.7016,2.7157,2.7185,2.7782,2.7836,2.7888,2.8022,2.9593,3.3013,4.0964,4.212,4.2445,4.2878,4.2979,5.294,5.3531,5.5733,5.645,5.6457,5.6901,5.7615,5.9718,6.018,7.1428,7.182,7.4441,7.9868,8.6865,9.1945,9.8721,10.4915,10.9757,11.108,11.2802,11.397,11.4237,11.6025,11.6897,11.8174,11.8983,11.9984,12.0623,12.7036,12.7545,13.5624,14.4856,14.6525,14.7327,15.3292,15.3707,15.7113,15.9134,16.2277,16.3627,16.4678,16.8927,17.2291,17.2623,17.781,17.9758,18.6933,18.7605,19.3423,19.3592,19.3677,19.74,20.093,20.7925,20.8113,20.9035,21.7475,21.7511,21.8273,22.1431,22.3753,22.4775,23.3972,23.4502,23.6586,24.8927
0.08957753512586737,-64.5262,-64.5261,-64.5261,-64.526,-64.4864,-64.4864,-64.4863,-64.4863,-64.4862,-64.4861,-64.4861,-64.4861,-64.4285,-64.4284,-64.4284,-64.4283,-64.341,-64.3409,-10.7567,-10.7353,-9.005,-8.8812,-7.5161,-7.3481,-1.8887,-1.4291,-0.1483,0.2198,0.2253,0.2299,0.2553,0.2595,0.2662,0.297,0.3052,0.3598,1.1333,1.1354,1.1506,1.161,2.5263,2.5312,2.5775,2.5779,2.5859,2.5934,2.6465,2.6676,2.7054,2.7158,2.7202,2.7745,2.7846,2.7909,2.8028,2.9687,3.298,4.0821,4.1996,4.2401,4.2838,4.2965,5.2692,5.3426,5.546,5.6265,5.636,5.683,5.7451,5.9655,6.0232,7.1681,7.207,7.4442,8.0122,8.7076,9.2108,9.8859,10.4838,10.9524,11.1179,11.2631,11.3892,11.4094,11.597,11.7071,11.8144,11.9159,12.0087,12.0794,12.7024,12.7664,13.5762,14.4831,14.6235,14.723,15.3152,15.366,15.6834,15.923,16.263,16.3959,16.498,16.9476,17.2213,17.2571,17.7926,18.0032,18.6944,18.7782,19.3607,19.361,19.3724,19.7346,20.1216,20.769,20.8203,20.9084,21.747,21.7556,21.838,22.1153,22.3921,22.5154,23.4127,23.4738,23.6921,24.9266
